"","celltype"
"x2_52_0_1_bc0585","eL4"
"x2_75_0_3_bc0738","eL4"
"x2_52_3_2_bc0285","eL4"
"x2_52_1_1_bc0476","eL4"
"x2_35_3_bc0094","eL4"
"x2_75_0_4_bc0280","eL4"
"x2_35_0_bc0196","eL4"
"x2_52_3_2_bc0832","eL4"
"x2_35_3_bc0749","eL4"
"x2_75_0_4_bc1015","eL4"
"x2_52_1_1_bc0342","eL4"
"x2_98_4_1_2_bc0225","eL4"
"x2_94_1_1_1_bc0164","eL4"
"x2_35_0_bc0784","eL4"
"x2_94_1_1_1_bc0192","eL4"
"x2_52_0_1_bc0796","eL4"
