"","celltype"
"x2_94_1_2_bc1886","Astro"
"x2_58_0_1_bc1748","Astro"
"x2_94_1_2_bc1515","Astro"
"x2_35_1_bc2687","Astro"
"x2_94_1_2_bc0567","Astro"
"x2_98_4_2_1_bc0228","Astro"
"x2_75_0_4_bc0833","Astro"
"x2_52_1_2_bc0882","Astro"
"x2_58_0_1_bc2790","Astro"
"x2_94_1_1_2_bc0426","Astro"
"x2_94_4_2_2_bc0756","Astro"
"x2_98_4_2_1_bc1029","Astro"
"x2_52_0_1_bc0869","Astro"
"x2_94_1_2_bc1129","Astro"
"x2_35_1_bc2168","Astro"
"x2_98_4_1_1_bc0683","Astro"
"x2_52_0_1_bc0893","Astro"
"x2_52_1_1_bc1858","Astro"
"x2_52_0_1_bc1021","Astro"
"x2_75_0_3_bc1412","Astro"
"x2_35_3_bc0729","Astro"
"x2_98_4_2_2_bc1782","Astro"
"x2_52_1_1_bc1415","Astro"
"x2_98_4_2_2_bc0970","Astro"
"x2_35_3_bc2615","Astro"
"x2_75_0_1_bc1613","Astro"
"x2_98_4_2_2_bc0843","Astro"
"x2_35_1_bc1381","Astro"
"x2_41_1_1_bc2425","Astro"
"x2_35_1_bc1936","Astro"
"x2_35_1_bc0819","Astro"
"x2_35_3_bc0983","Astro"
"x2_35_3_bc0895","Astro"
"x2_98_1_1_bc1548","Astro"
"x2_35_1_bc4405","Astro"
"x2_41_1_1_bc1412","Astro"
"x2_41_1_1_bc3224","Astro"
"x2_52_0_1_bc1409","Astro"
"x2_52_3_1_bc1462","Astro"
"x2_94_4_2_2_bc0790","Astro"
"x2_75_0_4_bc3020","Astro"
"x2_41_1_1_bc2076","Astro"
"x2_52_3_2_bc2868","Astro"
"x2_52_3_1_bc1312","Astro"
"x2_98_4_1_2_bc0412","Astro"
"x2_94_4_1_2_bc0451","Astro"
"x2_35_1_bc1581","Astro"
"x2_94_1_2_bc1231","Astro"
"x2_98_4_2_2_bc1115","Astro"
"x2_98_4_2_2_bc1208","Astro"
"x2_94_1_2_bc0775","Astro"
"x2_52_3_1_bc0466","Astro"
"x2_98_4_1_2_bc1588","Astro"
"x2_52_3_1_bc0913","Astro"
"x2_52_0_2_bc0357","Astro"
"x2_98_1_1_bc0931","Astro"
"x2_75_0_3_bc1487","Astro"
"x2_52_1_1_bc1168","Astro"
"x2_35_3_bc2038","Astro"
"x2_35_3_bc1241","Astro"
"x2_35_1_bc1129","Astro"
"x2_35_1_bc1622","Astro"
"x2_52_0_1_bc1497","Astro"
"x2_52_1_1_bc2554","Astro"
"x2_35_1_bc3170","Astro"
"x2_35_3_bc1213","Astro"
"x2_98_4_2_1_bc1907","Astro"
"x2_98_1_1_bc0723","Astro"
"x2_52_0_1_bc1551","Astro"
"x2_75_0_2_bc0935","Astro"
"x2_35_3_bc0881","Astro"
"x2_52_0_1_bc1491","Astro"
"x2_52_3_2_bc1648","Astro"
"x2_52_1_1_bc0953","Astro"
"x2_52_0_2_bc1247","Astro"
"x2_52_0_2_bc0989","Astro"
"x2_75_0_4_bc2540","Astro"
"x2_52_3_2_bc1921","Astro"
"x2_41_1_1_bc1629","Astro"
"x2_75_0_1_bc1243","Astro"
"x2_58_0_1_bc3243","Astro"
"x2_52_1_1_bc0957","Astro"
"x2_41_1_1_bc2253","Astro"
"x2_52_1_2_bc1446","Astro"
"x2_52_0_1_bc2242","Astro"
"x2_52_1_1_bc1965","Astro"
"x2_94_4_1_2_bc1552","Astro"
"x2_98_4_2_1_bc2034","Astro"
"x2_94_4_1_2_bc0859","Astro"
"x2_75_0_2_bc0791","Astro"
"x2_75_0_2_bc1125","Astro"
"x2_35_1_bc1777","Astro"
"x2_52_0_1_bc1461","Astro"
"x2_98_4_2_2_bc0799","Astro"
"x2_41_1_1_bc1838","Astro"
"x2_52_3_2_bc2988","Astro"
"x2_98_4_1_2_bc1136","Astro"
"x2_35_1_bc3274","Astro"
"x2_94_1_2_bc0784","Astro"
"x2_58_0_2_bc0877","Astro"
"x2_98_4_2_1_bc0952","Astro"
"x2_75_0_2_bc0800","Astro"
"x2_58_0_2_bc0802","Astro"
"x2_35_3_bc1764","Astro"
"x2_52_1_1_bc1885","Astro"
"x2_35_3_bc2138","Astro"
"x2_75_0_1_bc1917","Astro"
"x2_35_3_bc1354","Astro"
"x2_52_0_1_bc1338","Astro"
"x2_98_4_2_1_bc0929","Astro"
"x2_35_1_bc1839","Astro"
"x2_94_1_2_bc0719","Astro"
"x2_41_1_1_bc3075","Astro"
"x2_35_1_bc1135","Astro"
"x2_98_4_2_2_bc1949","Astro"
"x2_58_0_1_bc2485","Astro"
"x2_52_0_1_bc1417","Astro"
"x2_58_0_2_bc0531","Astro"
"x2_52_0_2_bc0300","Astro"
"x2_35_1_bc1445","Astro"
"x2_58_0_2_bc0981","Astro"
"x2_98_4_2_2_bc0654","Astro"
"x2_52_3_2_bc2950","Astro"
"x2_94_4_2_2_bc0927","Astro"
"x2_35_3_bc1872","Astro"
"x2_98_4_1_1_bc1723","Astro"
"x2_52_1_2_bc1566","Astro"
"x2_94_1_2_bc1648","Astro"
"x2_35_3_bc1224","Astro"
"x2_75_0_4_bc1529","Astro"
"x2_52_1_1_bc1838","Astro"
"x2_58_0_2_bc0859","Astro"
"x2_35_3_bc2707","Astro"
"x2_94_4_2_2_bc0473","Astro"
